CID,SMILES,Hf /kJmol-1,Hf_spread /kJmol-1,density / gcm-3,det_velocity / kms-1,det_pressure / Gpa
C3647,C1C(C=CC)CCCC1O,,,,,
C5735,C1CCC2CCCCC2C1c1ccccc1C,,,,,
C4320,C(CC)N,,,,,
C3641,C(C=C)C(=O)N,,,,,
C656,C1CC(C=C)CC(O)C1,,,,,
C1738,C1CCCCC1C,,,,,
C4421,C1CCC(C=C)CC1O,,,,,
C5786,CC(=C)C(=O)C,,,,,
C4997,CC(CC=O)CC=C,,,,,
C462,C1CCCC(C)C1,,,,,
C2639,CC1CCCCC1,,,,,
C5134,C1CC(c2ccccc2C)C2CCCCC2C1,,,,,
C6397,C1CCC2(C=CC)CCCCC2C1,,,,,
C1939,C1CCC(C)CC1,,,,,
C2949,Cc1ccccc1O,,,,,
C5296,Cc1c(O)cccc1,,,,,
C4161,CO[N+](=O)[O-],,,,,
C1145,CO[N+](=O)[O-],,,,,
C5504,C(C1CCCCC1O)C=C,,,,,
C5411,C(#C)C(=O)O,,,,,
C2541,C(=C)O,,,,,
C2050,Cc1c(O)cccc1,,,,,
C848,CC1CC(C)CCC1,,,,,
C327,C1C(CC=C)CC2CCCCC2C1,,,,,
C5189,C1CCC(N)C(N=[N+]=[N-])(C2C(O)CCCC2)C1,,,,,
C3699,C1CCC2CCCC(C=CC)C2C1,,,,,
C2294,C1C(C=CC)CCCC1O,,,,,
C231,C1CC(C=CC)CCC1O,,,,,
C665,C1C(N)CCCC1,,,,,
C5782,C1CCCC(N)C1,,,,,
C5733,C1CCCC(N)C1,,,,,
C004,CCC,,,,,
C4961,C(C)C,,,,,
C3336,C(C#C)(C=O)c1ccccc1O,,,,,
C2616,C1CCC2CCCCC2C1N=O,,,,,
C3138,CC(=C)C=O,,,,,
C1777,C1CC(c2ccc(C)cc2)C2CCCCC2C1,,,,,
C3794,C1CCCCC1O[N+](=O)[O-],,,,,
C2145,C1CCCCC1O[N+](=O)[O-],,,,,
C5741,C1CCCCC1[N+](=O)[O-],,,,,
C5885,C1CCCC([N+](=O)[O-])C1,,,,,
C3220,CC,,,,,
C1137,C(#CC=O)C1CCC2CCCCC2C1,,,,,
C6431,C1CC(C2CCCCC2C)CC(N=[N+]=[N-])C1O,,,,,
C1933,CC1CC(CN)CCC1,,,,,
C4642,C(C)N,,,,,
