MOL,exp e /kJ mol,mace e /eV,M062X H /Eh,wB97X-V H /Eh,CAM-B3LYP H /Eh,wB97XD-D3BJ /Eh,MN15 H /Eh,B2PLYP H /Eh,SMILES,REF
isobutylamine,-98.62,-5817.3832381521,-213.61523898,-213.66100545,-213.60256441,-213.84689081,-213.4429315,-213.55254785,CC(C)CN,NIST
3-aminophenol,-98.6,-9876.538686066,-362.69076711,-362.72452734,-362.65863822,-362.985718,-362.41150833,-362.59048416,NC1=CC=CC(O)=C1,NIST
4-aminophenol,-90.5,-9876.4379458614,-362.68648478,-362.71989021,-362.65407786,-362.9812163,-362.40714933,-362.58652469,Oc1ccc(N)cc1,NIST
2-Methyl-1_2-propanediamine,-90.25,-7324.2660772892,-268.95348804,-269.00295628,-268.93673308,-269.22428587,-268.74087776,-268.87519878,CC(C)(N)CN,NIST
3-aminophenol,-89.4,-9876.538686066,-362.69076711,-362.72452734,-362.65863822,-362.985718,-362.41150833,-362.59048416,Oc1cccc(N)c1,NIST
2-aminophenol,-87.1,-9876.4966307432,-362.68984281,-362.72298401,-362.65724888,-362.98409243,-362.4111001,-362.58959496,Oc1ccccc1N,NIST
2-methyl-3-pyridinol,-84.5,-9876.3146887567,-362.68346227,-362.71868462,-362.65115257,-362.97928774,-362.40392144,-362.58418728,Cc1ncccc1O,NIST
ethane,-84.02,-2171.2982903976,-79.72674936,-79.75017945,-79.72586655,-79.82970391,-79.66126744,-79.70515323,CC,ATcT
acetophenone,-83.90,-10476.7483439572,-384.72419264,-384.76773511,-384.68238788,-385.05650821,-384.41969183,-384.6163408,c1ccccc1C(=O)C,ATcT
2-Propanamine,-83.7,-4747.7734096398,-174.33976461,-174.37625615,-174.33199477,-174.52680312,-174.20004824,-174.29027913,CC(N)C,NIST
nitromethane,-81.1,-6669.9948635305,-244.95438993,-244.97444816,-244.9641724,-245.11994219,-244.78977927,-244.91373476,C[N+]([O-])=O,NIST
nitrous_acid,-78.621,-5600.5006328561,-205.68439822,-205.69543237,-205.69671955,-205.80499354,-205.55369137,-205.65265206,O=NO,ATcT
methane,-74.513,-1101.7395468088,-40.45307667,-40.4670878,-40.45567961,-40.51125904,-40.42069751,-40.44407759,C,ATcT
1_2-butanediamine,-73.55,-7324.071962116,-268.94676242,-268.99599597,-268.93039555,-269.21738157,-268.73352103,-268.86809223,CCC(N)CN,NIST
p-tolualdehyde,-72.2,-10476.596057623,-384.71803925,-384.76376918,-384.67886282,-385.05287772,-384.41415125,-384.61262487,Cc1ccc(C=O)cc1,ATcT
2-Methyl-4-hydroxypyridine,-71.7,-9876.4338136632,-362.68669306,-362.72283735,-362.65527478,-362.98440993,-362.40651605,-362.58765912,CC1=NC=CC(O)=C1,NIST
m-tolualdehyde,-71.3,-10476.5738875866,-384.71801726,-384.76328755,-384.67830645,-385.05230516,-384.4135958,-384.61310844,Cc1cccc(C=O)c1,ATcT
anisole,-70.82,-9438.6711362399,-346.60898265,-346.64756504,-346.57408947,-346.90758932,-346.33879689,-346.50999988,c1ccccc1OC,ATcT
Propylamine,-69.9,-4747.6519525967,-174.33498123,-174.37173305,-174.32790055,-174.52209928,-174.19494176,-174.28598976,CCCN,NIST
