MOL,exp e /kJ mol,mace e /eV,SMILES,REF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethyl_nitrate,-154.808,-9786.7720476496,CCO[N+](=O)[O-],Byrd 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitroglycerine,-279.1,-26087.1562370188,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-methylpentane,-174.3,-6449.9887319118,CC(C)CCC,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-hexane,-167.1,-6449.9389561246,CCCCCC,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methylcyclopentane,-106.7,-6417.7653469452,C1CCC(C)C1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_1-dinitroethane,-101.77,-13307.8863929659,CC([N+](=O)[O-])[N+](=O)[O-],NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catechol,-271.6,-10417.7467259970,Oc1c(O)cccc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroquinone,-277.0,-10417.6712928908,c1cc(ccc1O)O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-aminophenol,-89.4,-9876.5233225670,Oc1cccc(N)c1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-aminophenol,-87.1,-9876.4994064023,Oc1ccccc1N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-aminophenol,-90.5,-9876.4381564910,Oc1ccc(N)cc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-cresool,-131.6,-9439.2705878764,Cc1cc(O)ccc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-aminotetrazole,323.80,-8538.1357415098,c1([nH]nnn1)N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_2_4-triazole,192.7,-6594.9030598527,N1C=NC=N1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_2_3-triazole,240,-6594.1579817971,c1cnn[nH]1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_butanol,-274.75,-6358.5929592157,OCCCC,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetic_acid,-412.04,-6236.2345849854,CC(O)=O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclopentene,35.66,-5315.3216436759,C1CC=CC1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclopentadiene,134.76,-5282.7121988336,C1C=CC=C1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methanediol,-392.44,-5197.7477694809,OCO,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-butane,-125.55,-4310.6035204997,CCCC,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclopropane,53.93,-3207.8350439572,C1CC1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclopropene,283.85,-3173.9933432889,C1C=C1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trinitrobenzene,54.8,-23026.3353878769,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resorcinol,-275,-10417.7659046466,c1cc(cc(c1)O)O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o-cresol,-130.5,-9439.2756236205,Cc1ccccc1O,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-cresol,-129.1,-9439.2485142885,Cc1ccc(O)cc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-xylene,17.9,-8460.7807205934,CC1=CC=C(C)C=C1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o-xylene,19.0,-8460.7762768058,CC1=C(C)C=CC=C1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetrazole,320,-7031.0204092123,[nH]1nnnc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyridine,100.75,-6758.2272031748,c1ccncc1,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-1-dimethylhydrazine,83.3,-5183.6335987079,CN(C)N,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Butanamine,-95.0,-5817.2908991145,CCCCN,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Hexanamine,-193.9,-7956.6258214767,CCCCCCN,NIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
